locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
7199,PT03087,Lisboa,PT,2017-12-29T15:00:00+00:00,2017-12-29T15:00:00+00:00,no2,13.1,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T15:00:00+00:00,2017-12-29T15:00:00+00:00,o3,55.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T14:00:00+00:00,2017-12-29T14:00:00+00:00,no2,12.4,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T14:00:00+00:00,2017-12-29T14:00:00+00:00,o3,59.1,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T13:00:00+00:00,2017-12-29T13:00:00+00:00,no2,11.4,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T13:00:00+00:00,2017-12-29T13:00:00+00:00,o3,61.8,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T12:00:00+00:00,2017-12-29T12:00:00+00:00,no2,10.8,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T12:00:00+00:00,2017-12-29T12:00:00+00:00,o3,61.2,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T11:00:00+00:00,2017-12-29T11:00:00+00:00,no2,29.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T11:00:00+00:00,2017-12-29T11:00:00+00:00,o3,37.2,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T10:00:00+00:00,2017-12-29T10:00:00+00:00,o3,10.5,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T10:00:00+00:00,2017-12-29T10:00:00+00:00,no2,51.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T09:00:00+00:00,2017-12-29T09:00:00+00:00,o3,5.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T09:00:00+00:00,2017-12-29T09:00:00+00:00,no2,59.5,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T08:00:00+00:00,2017-12-29T08:00:00+00:00,no2,33.4,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T08:00:00+00:00,2017-12-29T08:00:00+00:00,o3,19.1,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T07:00:00+00:00,2017-12-29T07:00:00+00:00,o3,41.5,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T07:00:00+00:00,2017-12-29T07:00:00+00:00,no2,13,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T06:00:00+00:00,2017-12-29T06:00:00+00:00,o3,43.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T06:00:00+00:00,2017-12-29T06:00:00+00:00,no2,9.6,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T05:00:00+00:00,2017-12-29T05:00:00+00:00,no2,7.1,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T05:00:00+00:00,2017-12-29T05:00:00+00:00,o3,48.1,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T04:00:00+00:00,2017-12-29T04:00:00+00:00,no2,8.2,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T04:00:00+00:00,2017-12-29T04:00:00+00:00,o3,44.6,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T03:00:00+00:00,2017-12-29T03:00:00+00:00,no2,9.7,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T03:00:00+00:00,2017-12-29T03:00:00+00:00,o3,44.4,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T02:00:00+00:00,2017-12-29T02:00:00+00:00,o3,47.9,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T02:00:00+00:00,2017-12-29T02:00:00+00:00,no2,10.7,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T01:00:00+00:00,2017-12-29T01:00:00+00:00,no2,16.5,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T01:00:00+00:00,2017-12-29T01:00:00+00:00,o3,41.7,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T00:00:00+00:00,2017-12-29T00:00:00+00:00,no2,13,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-29T00:00:00+00:00,2017-12-29T00:00:00+00:00,o3,50.3,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-28T23:00:00+00:00,2017-12-28T23:00:00+00:00,no2,14.9,µg/m³,38.705,-9.210278
7199,PT03087,Lisboa,PT,2017-12-28T23:00:00+00:00,2017-12-28T23:00:00+00:00,o3,48.2,µg/m³,38.705,-9.210278
